HOLEID,AT,AZM,DIP
MRV19,0,0,90
MRV19,100,307,88
MRV20,0,0,90
MRV20,100,341,86
MRV21,0,0,90
MRV21,427,318,85
MRV22,0,0,90
MRV22,429,311,84
MRV23,0,0,90
MRV23,428,320,78
MRV24,0,0,90
MRV24,430,317,80
MRV25,0,0,90
MRV25,429,325,85
MRV26,0,0,90
MRV26,423,323,81
MRV27,0,0,90
MRV27,418,314,82
MRV28,0,0,90
MRV28,100,340,78
MRV29,0,0,90
MRV29,100,331,88
MRV30,0,0,90
MRV30,100,340,87
MRV31,0,0,90
MRV31,100,325,83
MRV32,0,0,90
MRV32,429,310,85
MRV33,0,0,90
MRV33,429,303,84
MRV34,0,0,90
MRV34,429,310,80
MRV35,0,0,90
MRV35,420,350,83
MRV36,0,0,90
MRV36,420,313,82
MRV37,0,0,90
MRV37,416,342,81
MRV38,0,0,90
MRV38,415,312,82
MRV39,0,0,90
MRV39,413,318,84
MRV40,0,0,90
MRV40,100,307,88
MRV41,0,0,90
MRV41,100,335,88
MRV42,0,0,90
MRV42,100,309,85
MRV43,0,0,90
MRV43,100,307,87
MRV44,0,0,90
MRV44,100,312,88
MRV45,0,0,90
MRV46,0,0,90
MRV47,0,0,90
MRV48,0,0,90
MRV49,0,0,90
MRV50,0,0,90
MRV51,0,0,90
MRV52,0,0,90
MRV53,0,0,90
MRV54,0,0,90
MRV55,0,0,90
MRV56,0,0,90
MRV57,0,0,90
MRV58,0,0,90
MRV59,0,0,90
MRV60,0,0,90
MRV61,0,0,90
MRV62,0,0,90
MRV63,0,0,90
MRV64,0,0,90
MRV65,0,0,90
MRV66,0,0,90
MRV67,0,0,90
MRV68,0,0,90
MRV68,250,305,87
MRV69,0,0,90
MRV69,250,305,87
MRV70,0,0,90
MRV70,250,305,87
MRV71,0,0,90
MRV71,250,305,87
MRV72,0,0,90
MRV72,250,305,87
MRV73,0,0,90
MRV73,250,305,87
MRV74,0,0,90
MRV74,250,305,87
MRV75,0,0,90
MRV75,250,305,87
MRV76,0,0,90
MRV76,250,305,87
MRV77,0,0,90
MRV77,250,305,87
MRV78,0,0,90
MRV78,250,305,87
MRV79,0,0,90
MRV79,250,305,87
MRV80,0,0,90
MRV80,250,305,87
MRV81,0,0,90
MRV81,250,305,87
MRV82,0,0,90
MRV82,250,305,87
MRV83,0,0,90
MRV83,250,305,87
MRV84,0,0,90
MRV84,250,305,87
MRV85,0,0,90
MRV85,250,305,87
MRV86,0,0,90
MRV86,250,305,87
MRV87,0,0,90
MRV87,250,305,87
MRV88,0,0,90
MRV88,250,305,87
MRV89,0,0,90
MRV89,250,305,87
MRV90,0,0,90
MRV90,250,305,87
MRV91,0,0,90
MRV91,250,305,87
MRV92,0,0,90
MRV92,250,305,87
MRV93,0,0,90
MRV93,250,305,87
MRV94,0,0,90
MRV94,250,305,87
MRV95,0,0,90
MRV95,250,305,87
MRV96,0,0,90
MRV96,250,305,87
MRV97,0,0,90
MRV97,250,305,87
MRV98,0,0,90
MRV98,250,305,87
MRV99,0,0,90
MRV99,250,305,87
MRV100,0,0,90
MRV100,250,305,87
MRV101,0,0,90
MRV101,250,305,87
MRV102,0,0,90
MRV102,250,305,87
MRV103,0,0,90
MRV103,250,305,87
MRV104,0,0,90
MRV104,250,305,87
MRV105,0,0,90
MRV105,250,305,87
MRV106,0,0,90
MRV106,250,305,87
MRV107,0,0,90
MRV107,250,305,87
MRV108,0,0,90
MRV108,250,305,87
MRV109,0,0,90
MRV109,250,305,87
MRV110,0,0,90
MRV110,250,305,87
MRV111,0,0,90
MRV111,250,305,87
MRV112,0,0,90
MRV112,250,305,87
MRV113,0,0,90
MRV113,250,305,87
MRV114,0,0,90
MRV114,250,305,87
MRV115,0,0,90
MRV115,250,305,87
MRV116,0,0,90
MRV116,250,305,87
MRV117,0,0,90
MRV117,250,305,87
MRV118,0,0,90
MRV118,250,305,87
MRV119,0,0,90
MRV119,250,305,87
MRV120,0,0,90
MRV120,250,305,87
MRV121,0,0,90
MRV121,250,305,87
MRV122,0,0,90
MRV122,250,305,87
MRV123,0,0,90
MRV123,250,305,87
MRV124,0,0,90
MRV124,250,305,87
MRV125,0,0,90
MRV125,250,305,87
MRV126,0,0,90
MRV126,250,305,87
MRV127,0,0,90
MRV127,250,305,87
MRV128,0,0,90
MRV128,250,305,87
MRV129,0,0,90
MRV129,250,305,87
