HOLEID,X,Y,Z,ENDDEPTH
MRV43,4039.60,7939.90,720.50,100.00
MRV44,4139.40,7939.60,715.40,100.00
MRV45,4240.70,7939.40,711.80,50.00
MRV46,4339.70,7938.80,707.40,50.00
MRV47,4440.50,7940.70,710.40,50.00
MRV48,4539.70,7940.90,711.40,50.00
MRV49,4640.20,7939.60,706.60,50.00
MRV50,4740.00,7938.90,708.70,50.00
MRV51,3959.60,7339.70,723.30,250.00
MRV52,3999.30,7340.80,723.10,250.00
MRV53,4080.30,7340.10,720.90,250.00
MRV54,4160.60,7340.50,720.00,250.00
MRV55,4200.50,7339.00,720.30,250.00
MRV56,3919.80,7389.50,724.40,250.00
MRV57,3961.00,7388.80,724.10,250.00
MRV58,3999.30,7389.30,723.90,250.00
MRV59,4039.30,7391.10,723.70,250.00
MRV60,4079.90,7390.30,724.20,250.00
MRV61,4120.60,7389.10,724.50,250.00
MRV62,4159.70,7389.90,725.10,250.00
MRV63,4199.10,7389.00,725.30,250.00
MRV64,4240.40,7390.10,724.30,250.00
MRV65,3919.50,7439.90,725.90,250.00
MRV66,3960.40,7438.90,725.60,250.00
MRV67,4000.60,7440.40,725.40,250.00
MRV68,4040.50,7439.50,725.20,250.00
MRV69,4079.60,7441.00,725.70,250.00
MRV70,4119.40,7439.70,726.70,250.00
MRV71,4160.70,7440.30,727.70,250.00
MRV72,4200.10,7441.20,728.50,250.00
MRV73,4279.80,7440.40,725.20,250.00
MRV74,4320.00,7440.10,723.00,250.00
MRV75,3960.80,7288.90,722.60,250.00
MRV76,3999.60,7290.70,722.00,250.00
MRV77,4040.00,7290.80,720.60,250.00
MRV78,4080.10,7290.70,719.30,250.00
MRV79,4120.40,7290.40,717.90,250.00
MRV80,4159.00,7289.60,716.60,250.00
MRV81,4200.40,7290.10,715.20,250.00
MRV82,4239.60,7289.00,715.00,250.00
MRV83,3880.10,7489.20,727.60,250.00
MRV84,3920.70,7489.30,727.30,250.00
MRV85,3959.00,7490.40,727.10,250.00
MRV86,4161.00,7488.90,728.90,250.00
MRV87,4239.00,7489.30,730.00,250.00
MRV88,4279.70,7489.50,727.00,250.00
MRV89,4319.40,7490.10,724.30,250.00
MRV90,4360.10,7490.50,722.40,250.00
MRV91,4400.70,7490.10,720.10,250.00
MRV92,3998.90,7539.90,728.40,250.00
MRV93,4159.10,7539.00,730.00,250.00
MRV94,4279.40,7540.40,727.00,250.00
MRV95,4361.00,7538.80,722.10,250.00
MRV96,4399.00,7539.40,719.90,250.00
MRV97,4479.90,7539.40,715.30,250.00
MRV98,4039.70,7590.00,729.70,250.00
MRV99,4080.30,7590.50,729.60,250.00
MRV100,4120.60,7590.10,730.50,250.00
MRV101,4160.50,7591.00,729.30,250.00
MRV102,4200.40,7589.90,728.90,250.00
MRV103,4240.30,7591.00,728.50,250.00
MRV104,4280.20,7590.30,726.70,250.00
MRV105,4319.00,7590.40,724.50,250.00
MRV106,4360.40,7590.60,722.20,250.00
MRV107,4399.90,7589.30,720.00,250.00
MRV108,4439.10,7591.00,717.80,250.00
MRV109,4479.30,7591.10,715.60,250.00
MRV110,4519.60,7588.90,714.00,250.00
MRV111,4559.50,7590.70,713.70,250.00
MRV112,4119.20,7640.10,729.10,250.00
MRV113,4200.10,7639.70,728.20,250.00
MRV114,4239.10,7638.90,727.80,250.00
MRV115,4279.80,7639.20,726.70,250.00
MRV116,4319.40,7641.10,724.30,250.00
MRV117,4359.80,7640.80,721.90,250.00
MRV118,4400.90,7640.40,719.40,250.00
MRV119,4439.00,7639.90,717.50,250.00
MRV120,4480.90,7640.50,715.40,250.00
MRV121,4199.60,7689.20,724.20,250.00
MRV122,4239.10,7690.10,722.90,250.00
MRV123,4279.30,7691.20,724.40,250.00
MRV124,4359.10,7689.30,721.20,250.00
MRV125,4401.00,7690.50,718.60,250.00
MRV126,4439.70,7690.70,717.00,250.00
MRV127,4359.90,7740.20,719.20,250.00
MRV128,4399.90,7739.70,718.10,250.00
MRV129,4359.40,7790.40,719.50,250.00
