HOLEID,FROM,TO,DOMAIN,ROCKTYPE,WEATH
M001,140,142.5,D3,AvT,MX
M001,142.5,145,D3,AvT,MX
M001,145,147.5,D3,AvT,MX
M001,147.5,150,D3,AvT,MX
M001,150,152.5,D3,AvT,MX
M001,152.5,155,D3,AvT,MX
M001,155,157.5,D3,AvT,MX
M001,157.5,160,D3,AvT,MX
M001,160,162.5,D3,AvT,MX
M001,162.5,165,D3,AvT,MX
M001,165,167.5,D3,AvT,MX
M001,167.5,170,D3,AvT,MX
M001,170,172.5,D3,AvT,MX
M001,172.5,175,D3,AvT,MX
M001,175,177.5,D3,AvT,MX
M001,177.5,180,D3,AvT,MX
M001,180,182.5,D3,AvT,MX
M001,182.5,185,D3,AvT,MX
M001,185,187.5,D3,AvT,MX
M001,187.5,190,D3,AvT,MX
M001,190,192.5,D3,AvT,MX
M001,192.5,195,D3,AvT,MX
M001,195,197.5,D3,AvT,MX
M001,197.5,200,D3,AvT,MX
M001,200,202.5,D3,AvT,MX
M001,202.5,205,D3,AvT,MX
M001,205,207.5,D3,AvT,MX
M001,207.5,210,D3,AvT,MX
M001,210,212.5,D3,AvT,MX
M001,212.5,215,D3,AvT,MX
M001,215,217.5,D3,AvT,MX
M001,217.5,220,D3,AvT,PM
M001,220,222.5,D3,AvT,PM
M001,222.5,225,D3,AvT,PM
M001,225,227.5,D3,AvT,PM
M001,227.5,230,D3,AvT,PM
M001,230,232.5,D3,AvT,PM
M001,232.5,235,D3,AvT,PM
M001,235,237.5,D3,AvT,PM
M001,237.5,240,D3,AvT,PM
M001,240,242.5,D3,AvT,PM
M001,242.5,245,D3,AvT,PM
M001,245,247.5,D3,AvT,PM
M001,247.5,250,D3,AvT,PM
M002,0,2.5,I1,QzP,OX
M002,2.5,5,I1,QzP,OX
M002,5,7.5,I1,QzP,OX
M002,7.5,10,I1,QzP,OX
M002,10,12.5,I1,QzP,OX
M002,12.5,15,I1,QzP,OX
M002,15,17.5,I1,QzP,OX
M002,17.5,20,I1,QzP,OX
M002,20,22.5,I1,QzP,OX
M002,22.5,25,I1,QzP,OX
M002,25,27.5,I1,QzP,OX
M002,27.5,30,I1,QzP,OX
M002,30,32.5,I1,QzP,OX
M002,32.5,35,I1,QzP,OX
M002,35,37.5,I1,QzP,OX
M002,37.5,40,I1,QzP,OX
M002,40,42.5,I1,QzP,OX
M002,42.5,45,I1,QzP,MX
M002,45,47.5,I1,QzP,MX
M002,47.5,50,I1,QzP,MX
M002,50,52.5,I1,QzP,MX
M002,52.5,55,I1,QzP,MX
M002,55,57.5,I1,QzP,MX
M002,57.5,60,I1,QzP,MX
M002,60,62.5,I1,QzP,MX
M002,62.5,65,I1,QzP,MX
M002,65,67.5,I1,QzP,MX
M002,67.5,70,I1,QzP,MX
M002,70,72.5,I1,QzP,MX
M002,72.5,75,I1,QzP,MX
M002,75,77.5,I1,QzP,MX
M002,77.5,80,I1,QzP,MX
M002,80,82.5,I1,QzP,MX
M002,82.5,85,I1,QzP,MX
M002,85,87.5,I1,QzP,MX
M002,87.5,90,D2,AvT,MX
M002,90,92.5,D2,AvT,MX
M002,92.5,95,D2,AvT,MX
M002,95,97.5,D2,AvT,MX
M002,97.5,100,D2,AvT,MX
M002,100,102.5,D2,AvT,MX
M002,102.5,105,D2,AvT,MX
M002,105,107.5,D2,AvT,MX
M002,107.5,110,D2,AvT,MX
M002,110,112.5,D3,AvT,MX
M002,112.5,115,D3,AvT,MX
M002,115,117.5,D3,AvT,MX
M002,117.5,120,D3,AvT,MX
M002,120,122.5,D3,AvT,MX
M002,122.5,125,D3,AvT,MX
M002,125,127.5,D3,AvT,MX
M002,127.5,130,D3,AvT,MX
M002,130,132.5,D3,AvT,MX
M002,132.5,135,D3,AvT,MX
M002,135,137.5,D3,AvT,MX
M002,137.5,140,D3,AvT,MX
M002,140,142.5,D3,AvT,MX
M002,142.5,145,D3,AvT,MX
M002,145,147.5,D3,AvT,MX
M002,147.5,150,D3,AvT,MX
M002,150,152.5,D3,AvT,MX
M002,152.5,155,D3,AvT,MX
M002,155,157.5,D3,AvT,MX
M002,157.5,160,D3,AvT,MX
M002,160,162.5,D3,AvT,MX
M002,162.5,165,D3,AvT,MX
M002,165,167.5,D3,AvT,MX
M002,167.5,170,D3,AvT,MX
M002,170,172.5,D3,AvT,PM
M002,172.5,175,D3,AvT,PM
M002,175,177.5,D3,AvT,PM
M002,177.5,180,D3,AvT,PM
M002,180,182.5,D3,AvT,PM
M002,182.5,185,D3,AvT,PM
M002,185,187.5,D3,AvT,PM
M002,187.5,190,D3,AvT,PM
M002,190,192.5,D3,AvT,PM
M002,192.5,195,D3,AvT,PM
M002,195,197.5,D3,AvT,PM
M002,197.5,200,D3,AvT,PM
M002,200,202.5,D3,AvT,PM
M002,202.5,205,D3,AvT,PM
M002,205,207.5,D3,AvT,PM
M002,207.5,210,D3,AvT,PM
M002,210,212.5,D3,AvT,PM
M002,212.5,215,D3,AvT,PM
M002,215,217.5,D3,AvT,PM
M002,217.5,220,D3,AvT,PM
M002,220,222.5,D3,AvT,PM
M002,222.5,225,D3,AvT,PM
M002,225,227.5,D3,AvT,PM
M002,227.5,230,D3,AvT,PM
M002,230,232.5,D3,AvT,PM
M002,232.5,235,D3,AvT,PM
M002,235,237.5,D3,AvT,PM
M002,237.5,240,D3,AvT,PM
M002,240,242.5,D3,AvT,PM
M002,242.5,245,D3,AvT,PM
M002,245,247.5,D3,AvT,PM
M002,247.5,250,D3,AvT,PM
M003,0,2.5,I1,QzP,OX
M003,2.5,5,I1,QzP,OX
M003,5,7.5,I1,QzP,OX
M003,7.5,10,I1,QzP,OX
M003,10,12.5,I1,QzP,OX
M003,12.5,15,I1,QzP,OX
M003,15,17.5,I1,QzP,OX
M003,17.5,20,I1,QzP,OX
M003,20,22.5,I1,QzP,OX
M003,22.5,25,I1,QzP,OX
M003,25,27.5,I1,QzP,OX
M003,27.5,30,I1,QzP,OX
M003,30,32.5,I1,QzP,OX
M003,32.5,35,I1,QzP,OX
M003,35,37.5,I1,QzP,OX
M003,37.5,40,I1,QzP,OX
M003,40,42.5,I1,QzP,MX
M003,42.5,45,I1,QzP,MX
M003,45,47.5,I1,QzP,MX
M003,47.5,50,I1,QzP,MX
M003,50,52.5,I1,QzP,MX
M003,52.5,55,I1,QzP,MX
M003,55,57.5,I1,QzP,MX
M003,57.5,60,I1,QzP,MX
M003,60,62.5,I1,QzP,MX
M003,62.5,65,I1,QzP,MX
M003,65,67.5,I1,QzP,MX
M003,67.5,70,I1,QzP,MX
M003,70,72.5,I1,QzP,MX
M003,72.5,75,I1,QzP,MX
M003,75,77.5,I1,QzP,MX
M003,77.5,80,I1,QzP,MX
M003,80,82.5,I1,QzP,MX
M003,82.5,85,I1,QzP,MX
M003,85,87.5,I1,QzP,MX
M003,87.5,90,I1,QzP,MX
M003,90,92.5,I1,QzP,MX
M003,92.5,95,I1,QzP,MX
M003,95,97.5,I1,QzP,MX
M003,97.5,100,I1,QzP,MX
M003,100,102.5,I1,QzP,MX
M003,102.5,105,I1,QzP,MX
M003,105,107.5,I1,QzP,MX
M003,107.5,110,I1,QzP,MX
M003,110,112.5,I1,QzP,MX
M003,112.5,115,I1,QzP,MX
M003,115,117.5,I1,QzP,MX
M003,117.5,120,I1,QzP,MX
M003,120,122.5,I1,QzP,MX
M003,122.5,125,I1,QzP,MX
M003,125,127.5,I1,QzP,MX
M003,127.5,130,I1,QzP,MX
M003,130,132.5,I1,QzP,MX
M003,132.5,135,I1,QzP,MX
M003,135,137.5,I1,QzP,MX
M003,137.5,140,I1,QzP,MX
M003,140,142.5,I1,QzP,MX
M003,142.5,145,I1,QzP,MX
M003,145,147.5,D3,AvT,MX
M003,147.5,150,D3,AvT,MX
M003,150,152.5,D3,AvT,MX
M003,152.5,155,D3,AvT,MX
M003,155,157.5,D3,AvT,MX
M003,157.5,160,D3,AvT,MX
M003,160,162.5,D3,AvT,MX
M003,162.5,165,D3,AvT,MX
M003,165,167.5,D3,AvT,MX
M003,167.5,170,D3,AvT,MX
M003,170,172.5,D3,AvT,MX
M003,172.5,175,D3,AvT,MX
M003,175,177.5,D3,AvT,MX
M003,177.5,180,D3,AvT,PM
M003,180,182.5,D3,AvT,PM
M003,182.5,185,D3,AvT,PM
M003,185,187.5,D3,AvT,PM
M003,187.5,190,D3,AvT,PM
M003,190,192.5,D3,AvT,PM
M003,192.5,195,D3,AvT,PM
M003,195,197.5,D3,AvT,PM
M003,197.5,200,D3,AvT,PM
M003,200,202.5,D3,AvT,PM
M003,202.5,205,D3,AvT,PM
M003,205,207.5,D3,AvT,PM
M003,207.5,210,D3,AvT,PM
M003,210,212.5,D3,AvT,PM
M003,212.5,215,D3,AvT,PM
M003,215,217.5,D3,AvT,PM
M003,217.5,220,D3,AvT,PM
M003,220,222.5,D3,AvT,PM
M003,222.5,225,D3,AvT,PM
M003,225,227.5,D3,AvT,PM
M003,227.5,230,D3,AvT,PM
M003,230,232.5,D3,AvT,PM
M003,232.5,235,D3,AvT,PM
M003,235,237.5,D3,AvT,PM
M003,237.5,240,D3,AvT,PM
M003,240,242.5,D3,AvT,PM
M003,242.5,245,D3,AvT,PM
M003,245,247.5,D3,AvT,PM
M003,247.5,250,D3,AvT,PM
M004,0,2.5,D2,AvT,OX
M004,2.5,5,D2,AvT,OX
M004,5,7.5,D2,AvT,OX
M004,7.5,10,D2,AvT,OX
M004,10,12.5,D2,AvT,OX
M004,12.5,15,D2,AvT,OX
M004,15,17.5,D2,AvT,OX
M004,17.5,20,D2,AvT,OX
M004,20,22.5,D2,AvT,OX
M004,22.5,25,I1,QzP,OX
M004,25,27.5,I1,QzP,OX
M004,27.5,30,I1,QzP,OX
M004,30,32.5,I1,QzP,OX
M004,32.5,35,I1,QzP,OX
M004,35,37.5,I1,QzP,OX
M004,37.5,40,I1,QzP,OX
M004,40,42.5,I1,QzP,MX
M004,42.5,45,I1,QzP,MX
M004,45,47.5,I1,QzP,MX
M004,47.5,50,I1,QzP,MX
M004,50,52.5,I1,QzP,MX
M004,52.5,55,I1,QzP,MX
M004,55,57.5,I1,QzP,MX
M004,57.5,60,I1,QzP,MX
M004,60,62.5,I1,QzP,MX
M004,62.5,65,I1,QzP,MX
M004,65,67.5,I1,QzP,MX
M004,67.5,70,I1,QzP,MX
M004,70,72.5,I1,QzP,MX
M004,72.5,75,I1,QzP,MX
M004,75,77.5,I1,QzP,MX
M004,77.5,80,I1,QzP,MX
M004,80,82.5,I1,QzP,MX
M004,82.5,85,I1,QzP,MX
M004,85,87.5,I1,QzP,MX
M004,87.5,90,I1,QzP,MX
M004,90,92.5,I1,QzP,MX
M004,92.5,95,I1,QzP,MX
M004,95,97.5,I1,QzP,MX
M004,97.5,100,I1,QzP,MX
M004,100,102.5,I1,QzP,MX
M004,102.5,105,I1,QzP,MX
M004,105,107.5,I1,QzP,MX
M004,107.5,110,I1,QzP,MX
M004,110,112.5,I1,QzP,MX
M004,112.5,115,I1,QzP,MX
M004,115,117.5,I1,QzP,MX
M004,117.5,120,I1,QzP,MX
M004,120,122.5,I1,QzP,MX
M004,122.5,125,I1,QzP,MX
M004,125,127.5,I1,QzP,MX
M004,127.5,130,I1,QzP,MX
M004,130,132.5,I1,QzP,MX
M004,132.5,135,I1,QzP,MX
M004,135,137.5,I1,QzP,MX
M004,137.5,140,I1,QzP,MX
M004,140,142.5,I1,QzP,MX
M004,142.5,145,I1,QzP,MX
M004,145,147.5,I1,QzP,MX
M004,147.5,150,I1,QzP,MX
M004,150,152.5,I1,QzP,MX
M004,152.5,155,I1,QzP,MX
M004,155,157.5,I1,QzP,MX
M004,157.5,160,I1,QzP,MX
M004,160,162.5,I1,QzP,MX
M004,162.5,165,I1,QzP,MX
M004,165,167.5,I1,QzP,MX
M004,167.5,170,I1,QzP,MX
M004,170,172.5,I1,QzP,MX
M004,172.5,175,I1,QzP,MX
M004,175,177.5,D3,AvT,MX
M004,177.5,180,D3,AvT,MX
M004,180,182.5,D3,AvT,MX
M004,182.5,185,D3,AvT,MX
M004,185,187.5,D3,AvT,MX
M004,187.5,190,D3,AvT,MX
M004,190,192.5,D3,AvT,PM
M004,192.5,195,D3,AvT,PM
M004,195,197.5,D3,AvT,PM
M004,197.5,200,D3,AvT,PM
M004,200,202.5,D3,AvT,PM
M004,202.5,205,D3,AvT,PM
M004,205,207.5,D3,AvT,PM
M004,207.5,210,D3,AvT,PM
M004,210,212.5,D3,AvT,PM
M004,212.5,215,D3,AvT,PM
M004,215,217.5,D3,AvT,PM
M004,217.5,220,D3,AvT,PM
M004,220,222.5,D3,AvT,PM
M004,222.5,225,D3,AvT,PM
M004,225,227.5,D3,AvT,PM
M004,227.5,230,D3,AvT,PM
M004,230,232.5,D3,AvT,PM
M004,232.5,235,D3,AvT,PM
M004,235,237.5,D3,AvT,PM
M004,237.5,240,D3,AvT,PM
M004,240,242.5,D3,AvT,PM
M004,242.5,245,D3,AvT,PM
M004,245,247.5,D3,AvT,PM
M004,247.5,250,D3,AvT,PM
M004,250,252.5,D3,AvT,PM
M004,252.5,255,D3,AvT,PM
M004,255,257.5,D3,AvT,PM
M004,257.5,260,D3,AvT,PM
M004,260,262.5,D3,AvT,PM
M004,262.5,265,D3,AvT,PM
M004,265,267.5,D3,AvT,PM
M004,267.5,270,D3,AvT,PM
M004,270,272.5,D3,AvT,PM
M004,272.5,275,D3,AvT,PM
M005,0,2.5,D1,AvT,OX
M005,2.5,5,D1,AvT,OX
M005,5,7.5,D2,AvT,OX
M005,7.5,10,D2,AvT,OX
M005,10,12.5,D2,AvT,OX
M005,12.5,15,D2,AvT,OX
M005,15,17.5,D2,AvT,OX
M005,17.5,20,D2,AvT,OX
M005,20,22.5,D2,AvT,OX
M005,22.5,25,D2,AvT,OX
M005,25,27.5,D2,AvT,OX
M005,27.5,30,D2,AvT,OX
M005,30,32.5,D2,AvT,OX
M005,32.5,35,D2,AvT,OX
M005,35,37.5,D2,AvT,MX
M005,37.5,40,D2,AvT,MX
M005,40,42.5,D2,AvT,MX
M005,42.5,45,I1,QzP,MX
M005,45,47.5,I1,QzP,MX
M005,47.5,50,I1,QzP,MX
M005,50,52.5,I1,QzP,MX
M005,52.5,55,I1,QzP,MX
M005,55,57.5,I1,QzP,MX
M005,57.5,60,I1,QzP,MX
M005,60,62.5,I1,QzP,MX
M005,62.5,65,I1,QzP,MX
M005,65,67.5,I1,QzP,MX
M005,67.5,70,I1,QzP,MX
M005,70,72.5,I1,QzP,MX
M005,72.5,75,I1,QzP,MX
M005,75,77.5,I1,QzP,MX
M005,77.5,80,I1,QzP,MX
M005,80,82.5,I1,QzP,MX
M005,82.5,85,I1,QzP,MX
M005,85,87.5,I1,QzP,MX
M005,87.5,90,I1,QzP,MX
M005,90,92.5,I1,QzP,MX
M005,92.5,95,I1,QzP,MX
M005,95,97.5,I1,QzP,MX
M005,97.5,100,I1,QzP,MX
M005,100,102.5,I1,QzP,MX
M005,102.5,105,I1,QzP,MX
M005,105,107.5,I1,QzP,MX
M005,107.5,110,I1,QzP,MX
M005,110,112.5,I1,QzP,MX
M005,112.5,115,I1,QzP,MX
M005,115,117.5,I1,QzP,MX
M005,117.5,120,I1,QzP,MX
M005,120,122.5,I1,QzP,MX
M005,122.5,125,I1,QzP,MX
M005,125,127.5,I1,QzP,MX
M005,127.5,130,I1,QzP,MX
M005,130,132.5,I1,QzP,MX
M005,132.5,135,I1,QzP,MX
M005,135,137.5,I1,QzP,MX
M005,137.5,140,I1,QzP,MX
M005,140,142.5,I1,QzP,MX
M005,142.5,145,I1,QzP,MX
M005,145,147.5,I1,QzP,MX
M005,147.5,150,I1,QzP,MX
M005,150,152.5,I1,QzP,MX
M005,152.5,155,I1,QzP,MX
M005,155,157.5,I1,QzP,MX
M005,157.5,160,I1,QzP,MX
M005,160,162.5,I1,QzP,MX
M005,162.5,165,I1,QzP,MX
M005,165,167.5,I1,QzP,MX
M005,167.5,170,I1,QzP,MX
M005,170,172.5,I1,QzP,MX
M005,172.5,175,I1,QzP,MX
M005,175,177.5,I1,QzP,MX
M005,177.5,180,I1,QzP,MX
M005,180,182.5,I1,QzP,MX
M005,182.5,185,I1,QzP,MX
M005,185,187.5,I1,QzP,MX
M005,187.5,190,I1,QzP,MX
M005,190,192.5,I1,QzP,MX
M005,192.5,195,I1,QzP,MX
M005,195,197.5,I1,QzP,MX
M005,197.5,200,I1,QzP,MX
M005,200,202.5,I1,QzP,MX
M005,202.5,205,I1,QzP,MX
M005,205,207.5,I1,QzP,MX
M005,207.5,210,D3,AvT,MX
M005,210,212.5,D3,AvT,PM
M005,212.5,215,D3,AvT,PM
M005,215,217.5,D3,AvT,PM
M005,217.5,220,D3,AvT,PM
M005,220,222.5,D3,AvT,PM
M005,222.5,225,D3,AvT,PM
M005,225,227.5,D3,AvT,PM
M005,227.5,230,D3,AvT,PM
M005,230,232.5,D3,AvT,PM
M005,232.5,235,D3,AvT,PM
M005,235,237.5,D3,AvT,PM
M005,237.5,240,D3,AvT,PM
M005,240,242.5,D3,AvT,PM
M005,242.5,245,D3,AvT,PM
M005,245,247.5,D3,AvT,PM
M005,247.5,250,D3,AvT,PM
M005,250,252.5,D3,AvT,PM
M005,252.5,255,D3,AvT,PM
M005,255,257.5,D3,AvT,PM
M005,257.5,260,D3,AvT,PM
M005,260,262.5,D3,AvT,PM
M005,262.5,265,D3,AvT,PM
M005,265,267.5,D3,AvT,PM
M005,267.5,270,D3,AvT,PM
M005,270,272.5,D3,AvT,PM
M005,272.5,275,D3,AvT,PM
M005,275,277.5,D3,AvT,PM
M005,277.5,280,D3,AvT,PM
M005,280,282.5,D3,AvT,PM
M005,282.5,285,D3,AvT,PM
M005,285,287.5,D3,AvT,PM
M005,287.5,290,D3,AvT,PM
M005,290,292.5,D3,AvT,PM
M005,292.5,295,D3,AvT,PM
M005,295,297.5,D3,AvT,PM
M005,297.5,300,D3,AvT,PM
M006,0,2.5,D1,AvT,OX
M006,2.5,5,D1,AvT,OX
M006,5,7.5,D2,AvT,OX
M006,7.5,10,D2,AvT,OX
M006,10,12.5,D2,AvT,OX
M006,12.5,15,D2,AvT,OX
M006,15,17.5,D2,AvT,OX
M006,17.5,20,D2,AvT,OX
M006,20,22.5,D2,AvT,OX
M006,22.5,25,D2,AvT,OX
M006,25,27.5,D2,AvT,MX
M006,27.5,30,D2,AvT,MX
M006,30,32.5,D2,AvT,MX
M006,32.5,35,D2,AvT,MX
M006,35,37.5,D2,AvT,MX
M006,37.5,40,D2,AvT,MX
M006,40,42.5,D2,AvT,MX
M006,42.5,45,D2,AvT,MX
M006,45,47.5,D2,AvT,MX
M006,47.5,50,D2,AvT,MX
M006,50,52.5,D2,AvT,MX
M006,52.5,55,D2,AvT,MX
M006,55,57.5,D2,AvT,MX
M006,57.5,60,D2,AvT,MX
M006,60,62.5,D2,AvT,MX
M006,62.5,65,D2,AvT,MX
M006,65,67.5,D2,AvT,MX
M006,67.5,70,D2,AvT,MX
M006,70,72.5,D2,AvT,MX
M006,72.5,75,D2,AvT,MX
M006,75,77.5,D2,AvT,MX
M006,77.5,80,D2,AvT,PM
M006,80,82.5,D2,AvT,PM
M006,82.5,85,D2,AvT,PM
M006,85,87.5,D2,AvT,PM
M006,87.5,90,D2,AvT,PM
M006,90,92.5,D2,AvT,PM
M006,92.5,95,D2,AvT,PM
M006,95,97.5,D2,AvT,PM
M006,97.5,100,D2,AvT,PM
M006,100,102.5,D2,AvT,PM
M006,102.5,105,D2,AvT,PM
M006,105,107.5,D2,AvT,PM
M006,107.5,110,D2,AvT,PM
M006,110,112.5,D2,AvT,PM
M006,112.5,115,D2,AvT,PM
M006,115,117.5,D2,AvT,PM
M006,117.5,120,D2,AvT,PM
M006,120,122.5,D2,AvT,PM
M006,122.5,125,D2,AvT,PM
M006,125,127.5,D2,AvT,PM
M006,127.5,130,D2,AvT,PM
M006,130,132.5,D2,AvT,PM
M006,132.5,135,D2,AvT,PM
M006,135,137.5,D2,AvT,PM
M006,137.5,140,D2,AvT,PM
M006,140,142.5,D3,AvT,PM
M006,142.5,145,D3,AvT,PM
M006,145,147.5,D3,AvT,PM
M006,147.5,150,D3,AvT,PM
M006,150,152.5,D3,AvT,PM
M006,152.5,155,D3,AvT,PM
M006,155,157.5,D3,AvT,PM
M006,157.5,160,D3,AvT,PM
M006,160,162.5,D3,AvT,PM
M006,162.5,165,D3,AvT,PM
M006,165,167.5,D3,AvT,PM
M006,167.5,170,D3,AvT,PM
M006,170,172.5,D3,AvT,PM
M006,172.5,175,D3,AvT,PM
M006,175,177.5,D3,AvT,PM
M006,177.5,180,D3,AvT,PM
M006,180,182.5,D3,AvT,PM
M006,182.5,185,D3,AvT,PM
M006,185,187.5,D3,AvT,PM
M006,187.5,190,D3,AvT,PM
M006,190,192.5,D3,AvT,PM
M006,192.5,195,D3,AvT,PM
M006,195,197.5,D3,AvT,PM
M006,197.5,200,D3,AvT,PM
M006,200,202.5,D3,AvT,PM
M006,202.5,205,D3,AvT,PM
M006,205,207.5,D3,AvT,PM
M006,207.5,210,D3,AvT,PM
M006,210,212.5,D3,AvT,PM
M006,212.5,215,D3,AvT,PM
M006,215,217.5,D3,AvT,PM
M006,217.5,220,D3,AvT,PM
M006,220,222.5,D3,AvT,PM
M006,222.5,225,D3,AvT,PM
M006,225,227.5,D3,AvT,PM
M006,227.5,230,D3,AvT,PM
M006,230,232.5,D3,AvT,PM
M006,232.5,235,D3,AvT,PM
M006,235,237.5,D3,AvT,PM
M006,237.5,240,D3,AvT,PM
M006,240,242.5,D3,AvT,PM
M006,242.5,245,D3,AvT,PM
M006,245,247.5,D3,AvT,PM
M006,247.5,250,D3,AvT,PM
M006,250,252.5,D3,AvT,PM
M006,252.5,255,D3,AvT,PM
M006,255,257.5,D3,AvT,PM
M006,257.5,260,D3,AvT,PM
M006,260,262.5,D3,AvT,PM
M006,262.5,265,D3,AvT,PM
M006,265,267.5,D3,AvT,PM
M006,267.5,270,D3,AvT,PM
M006,270,272.5,D3,AvT,PM
M006,272.5,275,D3,AvT,PM
M006,275,277.5,D3,AvT,PM
M006,277.5,280,D3,AvT,PM
M006,280,282.5,D3,AvT,PM
M006,282.5,285,D3,AvT,PM
M006,285,287.5,D3,AvT,PM
M006,287.5,290,D3,AvT,PM
M006,290,292.5,D3,AvT,PM
M006,292.5,295,D3,AvT,PM
M006,295,297.5,D3,AvT,PM
M006,297.5,300,D3,AvT,PM
M006,300,302.5,D3,AvT,PM
M006,302.5,305,D3,AvT,PM
M006,305,307.5,D3,AvT,PM
M006,307.5,310,D3,AvT,PM
M006,310,312.5,D3,AvT,PM
M006,312.5,315,D3,AvT,PM
M006,315,317.5,D3,AvT,PM
M006,317.5,320,D3,AvT,PM
M006,320,322.5,D3,AvT,PM
M006,322.5,325,D3,AvT,PM
M006,325,327.5,D3,AvT,PM
M006,327.5,330,D3,AvT,PM
M006,330,332.5,D4,AvT,PM
M006,332.5,335,D4,AvT,PM
M006,335,337.5,D4,AvT,PM
M006,337.5,340,D4,AvT,PM
M006,340,342.5,D4,AvT,PM
M006,342.5,345,D4,AvT,PM
M006,345,347.5,D4,AvT,PM
M006,347.5,350,D4,AvT,PM
M006,350,352.5,D4,AvT,PM
M006,352.5,355,D4,AvT,PM
M006,355,357.5,D4,AvT,PM
M006,357.5,360,D4,AvT,PM
M006,360,362.5,D4,AvT,PM
M006,362.5,365,D4,AvT,PM
M006,365,367.5,D4,AvT,PM
M006,367.5,370,I2,GnD,PM
M006,370,372.5,I2,GnD,PM
M006,372.5,375,I2,GnD,PM
M006,375,377.5,I2,GnD,PM
M006,377.5,380,I2,GnD,PM
M006,380,382.5,I2,GnD,PM
M006,382.5,385,I2,GnD,PM
M006,385,387.5,I2,GnD,PM
M006,387.5,390,I2,GnD,PM
M006,390,392.5,I2,GnD,PM
M006,392.5,395,I2,GnD,PM
M006,395,397.5,I2,GnD,PM
M006,397.5,400,I2,GnD,PM
M006,400,402.5,I2,GnD,PM
M006,402.5,405,I2,GnD,PM
M006,405,407.5,I2,GnD,PM
M006,407.5,410,I2,GnD,PM
M006,410,412.5,I2,GnD,PM
M006,412.5,415,I2,GnD,PM
M006,415,417.5,I2,GnD,PM
M006,417.5,420,I2,GnD,PM
M006,420,422.5,I2,GnD,PM
M006,422.5,425,I2,GnD,PM
M006,425,427.5,I2,GnD,PM
M006,427.5,430,I2,GnD,PM
M006,430,432.5,I2,GnD,PM
M006,432.5,435,I2,GnD,PM
M006,435,437.5,I2,GnD,PM
M006,437.5,440,I2,GnD,PM
M006,440,442.5,I2,GnD,PM
M006,442.5,445,I2,GnD,PM
M006,445,447.5,I2,GnD,PM
M006,447.5,450,I2,GnD,PM
M006,450,452.5,I2,GnD,PM
M006,452.5,455,I2,GnD,PM
M006,455,457.5,I2,GnD,PM
M006,457.5,460,I2,GnD,PM
M006,460,462.5,I2,GnD,PM
M006,462.5,465,I2,GnD,PM
M006,465,467.5,I1,QzP,PM
M006,467.5,470,I1,QzP,PM
M006,470,472.5,I1,QzP,PM
M006,472.5,475,I1,QzP,PM
M006,475,477.5,I1,QzP,PM
M006,477.5,480,I1,QzP,PM
M007,0,2.5,D1,AvT,OX
M007,2.5,5,D2,AvT,OX
M007,5,7.5,D2,AvT,OX
M007,7.5,10,D2,AvT,OX
M007,10,12.5,D2,AvT,OX
M007,12.5,15,D2,AvT,OX
M007,15,17.5,D2,AvT,OX
M007,17.5,20,D2,AvT,OX
M007,20,22.5,D2,AvT,MX
M007,22.5,25,D2,AvT,MX
M007,25,27.5,D2,AvT,MX
